day,kosakata,furigana,arti,contoh1,arti_contoh1,contoh2,arti_contoh2,Data bahasa indonesia
1,大きい,おおきい,Besar,,,,,
1,小さい,ちいさい,Kecil,,,,,
1,多い,おおい,Banyak,,,,,
1,少ない,すくない,Sedikit,,,,,
1,高い,たかい,Tinggi,,,,,
1,背が高い,せがたかい,(Badannya) tinggi,,,,,
1,安い,やすい,Murah,,,,,
1,低い,ひくい,"Rendah, pendek",,,,,
1,背が低い,せがひくい,(Badannya) pendek,,,,,
1,良い,いい,Bagus,,,,,
1,悪い,わるい,Buruk,,,,,
1,近い,ちかい,Dekat,,,,,
1,遠い,とおい,Jauh,,,,,
1,新しい,あたらしい,Baru,,,,,
1,古い,ふるい,"Tua, lama",,,,,
1,おいしい,おいしい,Lezat,,,,,
1,まずい,まずい,Tidak lezat,,,,,
1,辛い,からい,Pedas,,,,,
1,甘い,あまい,Manis,,,,,
1,苦い,にがい,Pahit,,,,,
2,酸っぱい,すっぱい,Asam,,,,,
2,しょっぱい・塩辛い,しょっぱい・しおからい,Asin,,,,,
2,難しい,むずかしい,Sulit,,,,,
2,若い,わかい,Muda,,,,,
2,長い,ながい,Panjang,,,,,
2,短い,みじかい,Pendek,,,,,
2,早い,はやい,"Awal, cepat",,,,,
2,速い,はやい,Cepat,,,,,
2,遅い,おそい,"Lambat, terlambat",,,,,
2,重い,おもい,Berat,,,,,
2,軽い,かるい,Ringan,,,,,
2,うるさい,うるさい,Berisik,,,,,
2,明るい,あかるい,Terang,,,,,
2,暗い,くらい,Gelap,,,,,
2,汚い,きたない,Kotor,,,,,
2,嬉しい,うれしい,Gembira,,,,,
2,悲しい,かなしい,Sedih,,,,,
2,面白い,おもしろい,Menarik,,,,,
2,つまらない,,Membosankan,,,,,
2,楽しい,たのしい,Menyenangkan,,,,,
3,寂しい,さびしい,Kesepian,,,,,
3,怖い,こわい,Menakutkan,,,,,
3,暑い,あつい,Panas (cuaca),,,,,
3,熱い,あつい,Panas (benda),,,,,
3,蒸し暑い,むしあつい,Panas lembab,,,,,
3,暖かい,あたたかい,Hangat,,,,,
3,涼しい,すずしい,Sejuk,,,,,
3,寒い,さむい,Dingin,,,,,
3,冷たい,つめたい,Dingin (benda),,,,,
3,忙しい,いそがしい,Sibuk,,,,,
3,珍しい,めずらしい,"Jarang, langka",,,,,
3,柔らかい,やわらかい,Lembut,,,,,
3,かたい,,Keras,,,,,
3,深い,ふかい,Dalam,,,,,
3,浅い,あさい,Dangkal,,,,,
3,広い,ひろい,Luas,,,,,
3,狭い,せまい,Sempit,,,,,
3,痛い,いたい,Sakit,,,,,
3,正しい,ただしい,Benar,,,,,
3,眠い,ねむい,Mengantuk,,,,,
4,厳しい,きびしい,Tegas,,,,,
4,強い,つよい,Kuat,,,,,
4,弱い,よわい,Lemah,,,,,
4,ひどい,,Jahat,,,,,
4,丸い,まるい,Bulat,,,,,
4,すごい,,Hebat,,,,,
4,うらやましい,,Iri,,,,,
4,恥ずかしい,はずかしい,Malu,,,,,
4,赤い,あかい,Merah,,,,,
4,青い,あおい,Biru,,,,,
4,黒い,くろい,Hitam,,,,,
4,白い,しろい,Putih,,,,,
4,茶色い,ちゃいろい,Warna cokelat,,,,,
4,黄色い,きいろい,Kuning,,,,,
4,頭がいい,あたまがい,Pintar,,,,,
4,かっこいい,,Keren,,,,,
4,かわいい,,"Imut, manis",,,,,
4,都合が悪い,つごうがわるい,Tidak ada waktu,,,,,
4,気分が悪い,きぶんがわるい,Tidak enak badan,,,,,
4,仲がいい,なかがいい,Hubungannya akrab,,,,,
