day,kosakata,furigana,arti,contoh1,arti_contoh1,contoh2,arti_contoh2,Data bahasa indonesia
1,きれい,,Kirei,Indah,,,,
1,ハンサム,,Hansamu,Ganteng,,,,
1,親切,しんせつ,Shinsetsu,Baik hati,,,,
1,元気,げんき,Genki,"Sehat, semangat",,,,
1,にぎやか,,Nigiyaka,Ramai (orang),,,,
1,静か,しずか,Shizuka,Tenang,,,,
1,好き,すき,Suki,Suka,,,,
1,嫌い,きらい,Kirai,Benci,,,,
1,上手,じょうず,Jouzu,Mahir,,,,
1,下手,へた,Heta,Tidak mahir,,,,
1,暇,ひま,Hima,Senggang,,,,
1,大切,たいせつ,Taisetsu,Penting,,,,
1,大事,だいじ,Daiji,Penting,,,,
1,便利,べんり,Benri,Praktis,,,,
1,不便,ふべん,Fuben,Tidak praktis,,,,
1,簡単,かんたん,Kantan,Mudah,,,,
1,複雑,ふくざつ,Fukuzatsu,Rumit,,,,
1,安全,あんぜん,Anzen,Aman,,,,
1,危険,きけん,Kiken,Bahaya,,,,
1,有名,ゆうめい,Yuumei,Terkenal,,,,
